company_name,original_website,final_url,redirected,domain_changed,merger_indicators,status,confidence,notes,acquirer_name,announcement_link
Securrency,https://securrency.com,https://www.dtcc.com/dtcc-digital-assets,True,True,Redirection significative: securrency.com → www.dtcc.com/dtcc-digital-assets | Lien acquisition trouvé via Google,CLOSED,0.7,Redirection vers domaine différent,,https://copper.co/insights/company-news/copper-acquires-digital-asset-brokerage-firm-securrency-capital-limited
Wyre,https://www.sendwyre.com,https://www.sendwyre.com/,False,False,,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,
CipherTrace,https://ciphertrace.com/,https://www.mastercard.com/global/en/business/issuers/crypto.html,True,True,Redirection significative: ciphertrace.com → www.mastercard.com/global/en/business/issuers/crypto.html | Lien acquisition trouvé via Google,CLOSED,0.7,Redirection vers domaine différent,,https://www.mastercard.com/news/press/2021/september/mastercard-acquires-ciphertrace-to-enhance-crypto-capabilities/
Spindl,https://www.spindl.xyz,https://www.spindl.xyz/,False,False,Lien d'annonce trouvé sur la page,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,https://blog.spindl.xyz/
TradeBlock,https://tradeblock.com/,,False,False,,CLOSED,0.8,Site inaccessible,,https://www.businesswire.com/news/home/20210105005308/en/CoinDesk-Acquires-TradeBlock-the-Worlds-Leading-Crypto-Index-Provider
Simplex,http://www.simplex.com,https://www.simplex.com/,True,False,Lien d'annonce trouvé sur la page,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,https://www.simplex.com/blog-news
Coinfirm,http://www.coinfirm.com,https://lukka.tech,True,True,Redirection significative: www.coinfirm.com → lukka.tech | Lien d'annonce trouvé sur la page | Lien acquisition trouvé via Google,CLOSED,0.7,Redirection vers domaine différent,,https://www.prnewswire.com/news-releases/lukka-acquiert-coinfirm-et-apporte-des-donnees-verifiees-a-lanalyse-de-la-blockchain-a-la-conformite-et-aux-enquetes-302153000.html
Beam,https://www.beamwallet.com,https://www.beamwallet.com/,False,False,,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,
Chain,https://www.chain.com/,https://www.chain.com/,False,False,Lien d'annonce trouvé sur la page,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,https://www.chain.com/company/press
Hexagate,http://hexagate.com/,https://www.hexagate.com/,True,False,Acquisition détectée: 'now part of' | Acquéreur: chainalysis | Lien d'annonce trouvé sur la page,ACQUIRED_AND_RUNNING,0.8,Site accessible avec mots-clés d'acquisition,chainalysis,https://www.chainalysis.com/blog/chainalysis-hexagate-announcement/
Metaco,https://metaco.com,,False,False,Lien acquisition trouvé via Google,CLOSED,0.8,Site inaccessible,,https://techcrunch.com/2023/05/17/ripple-acquires-crypto-custody-startup-metaco-for-250-million/
Nebula Genomics,https://www.nebula.org,https://nebula.org/,True,False,Lien d'annonce trouvé sur la page,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,https://blog.nebula.org/
Loopring,https://loopring.org/,https://loopring.org/,False,False,,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,
Factom,https://factom.com/,https://factom.com/,False,False,,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,
Alter,http://alter.xyz/,,False,False,Lien acquisition trouvé via Google,CLOSED,0.8,Site inaccessible,,https://80.lv/articles/google-has-quietly-acquired-ai-avatar-startup-alter
Tixologi,http://tixologi.com,https://tixologi.com/,True,False,Lien d'annonce trouvé sur la page,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,https://tixologi.com/press/
Horangi,https://horangi.com,https://www.bitdefender.com/en-us/business/,True,True,Redirection significative: horangi.com → www.bitdefender.com/en-us/business | Lien d'annonce trouvé sur la page | Lien acquisition trouvé via Google,CLOSED,0.7,Redirection vers domaine différent,,https://www.bitdefender.com/en-us/news/bitdefender-completes-acquisition-of-horangi-cyber-security
Gilded,https://gilded.finance,https://gilded.finance/,False,False,Lien d'annonce trouvé sur la page,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,https://blog.gilded.finance/
Pixelmon,https://www.pixelmon.ai/,https://www.pixelmon.ai/,False,False,Lien d'annonce trouvé sur la page,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,https://www.pixelmon.ai/blog
CoWSwap,https://swap.cow.fi/#/swap?chain=mainnet,https://swap.cow.fi/#/swap?chain=mainnet,False,False,,ACQUIRED_AND_RUNNING,0.6,Site accessible sans indication explicite d'acquisition,,
